"København";438735;101653
"Frederiksberg";75986;10955
"Ballerup";36041;5218
"Brøndby";24500;6376
"Dragør";10433;738
"Gentofte";51718;6349
"Gladsaxe";45927;7880
"Glostrup";16779;2904
"Herlev";20701;3144
"Albertslund";18370;3689
"Hvidovre";36377;5061
"Høje-Taastrup";35234;9918
"Lyngby-Taarbæk";39803;5529
"Rødovre";29426;4846
"Ishøj";13560;4696
"Tårnby";30897;3246
"Vallensbæk";11010;2484
"Furesø";29132;3270
"Allerød";18782;1369
"Fredensborg";29117;4090
"Helsingør";47799;4273
"Hillerød";39098;4170
"Hørsholm";18594;1518
"Rudersdal";40371;3784
"Egedal";32644;2525
"Frederikssund";36100;2531
"Halsnæs";23947;2429
"Gribskov";32378;2347
"Bornholm";30241;2158
"Christiansø";65;3
"Greve";37140;4634
"Køge";45996;4749
"Roskilde";67963;5193
"Solrød";17673;1349
"Odsherred";25972;1417
"Holbæk";55990;4086
"Faxe";28421;2631
"Kalundborg";36980;2230
"Ringsted";25608;3234
"Slagelse";61153;4982
"Stevns";18070;1253
"Sorø";23346;1293
"Lejre";21849;1450
"Lolland";30248;2544
"Næstved";64751;4456
"Guldborgsund";46318;3004
"Vordingborg";35096;2232
"Middelfart";30879;1712
"Assens";30577;2184
"Faaborg-Midtfyn";39643;2467
"Kerteminde";18361;1369
"Nyborg";24970;1473
"Odense";156161;14712
"Svendborg";45873;2393
"Nordfyns";21964;1789
"Langeland";9732;639
"Ærø";4526;480
"Haderslev";40671;4141
"Billund";18605;2706
"Sønderborg";52875;7300
"Tønder";25729;3507
"Esbjerg";85131;7073
"Fanø";2577;190
"Varde";35919;3589
"Vejen";30428;3398
"Aabenraa";41044;6285
"Fredericia";39048;3796
"Kolding";68684;6768
"Vejle";86145;9850
"Horsens";67741;9296
"Herning";65167;6097
"Holstebro";43778;3158
"Lemvig";14357;1064
"Struer";15415;1193
"Syddjurs";33542;2067
"Norddjurs";28152;2125
"Favrskov";35531;2425
"Odder";18145;1100
"Randers";75139;5447
"Silkeborg";74849;5071
"Samsø";2864;248
"Skanderborg";47340;2436
"Aarhus";274395;28988
"Ikast-Brande";29710;4022
"Ringkøbing-Skjern";40025;4392
"Hedensted";35391;3148
"Skive";34220;2062
"Viborg";72477;5282
"Morsø";15111;775
"Thisted";31919;2537
"Brønderslev";27217;1565
"Frederikshavn";44439;3505
"Vesthimmerlands";26758;2171
"Læsø";1414;83
"Rebild";22747;1069
"Mariagerfjord";31703;2085
"Jammerbugt";29122;1529
"Aalborg";170489;12304
"Hjørring";48413;3200
